application,num_splits,num_samples,test_ratio,window_duration,window_overlap,window_shape,stand1,fft,stand2,mean_score,std_dev
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.5833974748593366,0.029813437710914933
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.15384117190744767,0.18138385150504477
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.5855793872694783,0.029566746553209153
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.5843611151365066,0.029923609645479732
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.5850937711579366,0.029464601623795075
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5780407748251103,0.028834809273519568
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.5827495642772299,0.030078236065777704
sg mat.,30,1095,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5620425526792512,0.02814405133539601
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,FeatureScaler2,0.9114189335950081,0.004124678161343632
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_Mag,ScaleControl2,0.9020336503542611,0.004109343870205155
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,FeatureScaler2,0.9236371367689391,0.00391451636435614
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_Mag,ScaleControl2,0.4770654496336075,0.008054917233183566
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,FeatureScaler2,0.8682900778703949,0.005775209748495087
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagSq,ScaleControl2,0.8463344972011565,0.005137182438167477
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,FeatureScaler2,0.8988377423000941,0.004127440459295822
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagSq,ScaleControl2,0.38619443544427406,0.010816437646139359
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,FeatureScaler2,0.9128279331741822,0.004954128760913873
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FFT_MagRt,ScaleControl2,0.8975489407774851,0.005487154779314602
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,FeatureScaler2,0.9222289666683393,0.0039214010187953625
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FFT_MagRt,ScaleControl2,0.5605226101290569,0.007401068236731078
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,FeatureScaler2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,FeatureScaler1,FreqControl,ScaleControl2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,FeatureScaler2,0.9530508742386617,0.003078059496762454
sg wear,30,11264,0.25,0.1,0.5,boxcar,ScaleControl1,FreqControl,ScaleControl2,0.5467874216457349,0.01015873171753697
