name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.7818642192441114,0.0021610819073049625,0.7818944425026215,0.0020971688220901563
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.7543063691446681,0.004898785257556881,0.7544564837469416,0.005068157986717892
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.75446397910842,0.006203936138288069,0.7546312478154491,0.0062915064662705245
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.7568686819893391,0.004816956879772627,0.7569031807060469,0.005068157986717947
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.6695394988628174,0.004894876180028596,0.6731911918909472,0.005242922055225474
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.6814218828994734,0.0010094659960712682,0.6850751485494582,0.0013981125480601595
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.6849486957519832,0.0020966874640888644,0.6885704299196085,0.001747640685075158
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 31.622776601683793, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.7803027386944729,0.0026112271900167183,0.7801468018175464,0.00244669695910521
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.7707510070425895,0.0030404569111135427,0.7707095421181405,0.0031457532331352622
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.7771115535422384,0.004632311599669925,0.7771758126529185,0.004718629849702893
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.7724754065297217,0.0011610358245780494,0.7722824187347082,0.0012233484795526328
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.6799522882093676,0.004520346786557938,0.6840265641384131,0.005242922055225474
Concrete Tool Wear,hamming,0.05,0.5,551,4,2,0.5,11025,4,1709685383.0674062,5721,551,FFT_Mag,FreqControl2,FeatureScaler2,K10N,None,0.6835428475236729,0.008772049924713088,0.687347081440056,0.008912967493883261
