name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8698595434896732,0.016666509527638235,0.8698943661971832,0.016841700579132275
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass1,None,0.8665506160795713,0.010177887846698435,0.8667253521126761,0.010514853325097984
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass2,None,0.8749460330479168,0.0137598262644276,0.875,0.01397403861477779
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,MLPClass3,None,0.8673297785823567,0.014368810691361911,0.8674295774647887,0.014678284751475167
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K5N,None,0.7460974955343,0.012938154220170051,0.7485915492957746,0.013042436040459232
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K10N,None,0.7477320424194881,0.016273829207203775,0.7507042253521127,0.016273549307452572
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Rt,FreqControl2,FeatureScaler2,K15N,None,0.7355804493369671,0.012925236298767207,0.7392605633802818,0.012625829679047166
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.001}",0.8825109427740505,0.015784159939227438,0.8825704225352113,0.015995956082394187
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8898779644076595,0.013589515019744326,0.8901408450704225,0.013582606705623898
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass2,None,0.8951362858557115,0.012980345784479375,0.8952464788732395,0.013230021749826876
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass3,None,0.8878904860359706,0.017121145164161966,0.8880281690140845,0.017364546487236558
Concrete Tool Wear,hamming,0.2,0.5,1102,3,8,0.5,5512,8,1689457454.1419394,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7566150028283019,0.012493159604481814,0.759330985915493,0.012820721841998228
