name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev,f1 0,f1 1,f1 2,f1 3,f1 4,f1 5,f1 6,f1 7,f1 8,f1 9,f1 10,f1 11,f1 12,f1 13,f1 14,f1 15,f1 16,f1 17,f1 18,f1 19,f1 20,f1 21,f1 22,f1 23,f1 24,f1 25,f1 26,f1 27,f1 28,f1 29,f1 30,f1 31,f1 32,f1 33,f1 34,f1 35,f1 36,f1 37,f1 38,f1 39,acc 0,acc 1,acc 2,acc 3,acc 4,acc 5,acc 6,acc 7,acc 8,acc 9,acc 10,acc 11,acc 12,acc 13,acc 14,acc 15,acc 16,acc 17,acc 18,acc 19,acc 20,acc 21,acc 22,acc 23,acc 24,acc 25,acc 26,acc 27,acc 28,acc 29,acc 30,acc 31,acc 32,acc 33,acc 34,acc 35,acc 36,acc 37,acc 38,acc 39
['Concrete Tool Wear'],['hamming'],[0.2],[0.5],[2940],[40],[40],[0.7],[14700],[3],[1713034504.0887535],['1424'],[2940],['FFT_Mag'],['FreqControl2'],['FeatureScaler2'],['rbf_svm'],"[""{'rbf_svm__C': 100.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0001}""]",['0.9029352009798522'],['0.012118310317771986'],['0.9033099297893681'],['0.012189345496807879'],0.8839238461824133,0.9333489418607539,0.8971141927464643,0.9049356624896924,0.9074918003211022,0.8959592471105258,0.9146780711735395,0.9053050541711082,0.9027503758149705,0.9073464108902708,0.8965825657387416,0.8880773565041759,0.8973484575955976,0.9108379954211087,0.9125162891042371,0.9047186254490228,0.9010651598741889,0.8932972579636328,0.8884026044602674,0.8980569457643299,0.8984991220293619,0.8972346856847055,0.931190754688832,0.9146206310840457,0.8954210840656375,0.9269753180217414,0.8896609710643918,0.9100768261804801,0.8897820520575013,0.9025799633300036,0.9103919705461004,0.9073428225345331,0.8864106339477854,0.9135033051526952,0.9098556435340898,0.8925563234786482,0.8746386250801637,0.9107863178158705,0.9089901938438943,0.9031339344174626,0.8836509528585758,0.9338014042126379,0.8976930792377131,0.9047141424272819,0.9077231695085256,0.8966900702106319,0.9147442326980942,0.9067201604814443,0.9027081243731193,0.9077231695085256,0.8966900702106319,0.8886659979939819,0.8976930792377131,0.9117352056168505,0.9127382146439318,0.905717151454363,0.9017051153460381,0.8936810431293881,0.8886659979939819,0.8986960882647944,0.8986960882647944,0.8976930792377131,0.9317953861584755,0.9147442326980942,0.8956870611835507,0.9277833500501504,0.8896690070210632,0.9107321965897693,0.8896690070210632,0.9027081243731193,0.9107321965897693,0.9077231695085256,0.8876629889669007,0.9137412236710131,0.9097291875626881,0.892678034102307,0.8746238716148446,0.9107321965897693,0.9097291875626881,0.9037111334002006
['Concrete Tool Wear'],['hamming'],[0.2],[0.5],[2940],[40],[40],[0.7],[14700],[3],[1713034504.0887535],['1424'],[2940],['FFT_Mag'],['FreqControl2'],['FeatureScaler2'],['MLPClass1'],['None'],['0.8873986078334587'],['0.015867623574247935'],['0.8876379137412236'],['0.015926203437732322'],0.8686807851650739,0.9294638624780228,0.9068111617492374,0.8699447902698704,0.8925107606997283,0.8854062075364766,0.9135755873896291,0.9031364813985064,0.8925417157252381,0.8763580803623942,0.8824910667491549,0.8784511397419815,0.891985045936126,0.8995884144398997,0.8916143269388174,0.8965563444899232,0.8911999899592477,0.8672685483485658,0.8788734106827906,0.8563241051194662,0.8761762048679604,0.8792348450899562,0.9099531163484867,0.8849028203977912,0.8727347964235572,0.9074578573102148,0.8853414925528028,0.8784544774713954,0.8860611252648541,0.8726696588959277,0.9085711900536732,0.8956639805818503,0.8524832432931552,0.9043112865313342,0.8682221167001426,0.8917252585035259,0.887060543686167,0.8857044223959757,0.900150368199883,0.8762836835895434,0.8686058174523571,0.9297893681043129,0.9067201604814443,0.8686058174523571,0.892678034102307,0.8856569709127382,0.9137412236710131,0.9037111334002006,0.892678034102307,0.8776328986960883,0.8826479438314945,0.8786359077231695,0.892678034102307,0.9007021063189569,0.892678034102307,0.8966900702106319,0.8916750250752257,0.8676028084252758,0.8786359077231695,0.8565697091273822,0.8756268806419257,0.8796389167502507,0.9107321965897693,0.8846539618856569,0.872617853560682,0.9077231695085256,0.8856569709127382,0.8786359077231695,0.8856569709127382,0.8716148445336008,0.9087261785356068,0.8966900702106319,0.8545636910732196,0.9047141424272819,0.8686058174523571,0.8916750250752257,0.8866599799398195,0.8856569709127382,0.9007021063189569,0.876629889669007
['Concrete Tool Wear'],['hamming'],[0.2],[0.5],[2940],[40],[40],[0.7],[14700],[3],[1713034504.0887535],['1424'],[2940],['FFT_Mag'],['FreqControl2'],['FeatureScaler2'],['K5N'],['None'],['0.6872858965924685'],['0.02475354639368992'],['0.695210631895687'],['0.02248529196683489'],0.656290791432855,0.735515268140048,0.7118138439610832,0.6571434067189584,0.6848938969301783,0.6723440158152814,0.6900205593741506,0.6876902967344,0.7217436704757891,0.6920742990335977,0.6490244102394639,0.6758950663135409,0.6824992019944794,0.7077281328274356,0.6966286889851271,0.6648296729042794,0.7184408777906964,0.6922185726103421,0.6590382903673127,0.6882223898544254,0.6742081178393634,0.6398876557104405,0.6904989441282794,0.7133654076397532,0.7037618635737314,0.7191332796280108,0.6476295752682802,0.7238859573009467,0.6869400756773668,0.6537976216288451,0.7099884878562346,0.7281612467060935,0.670364952408301,0.7028306308973454,0.6456197562476613,0.6599170164787304,0.6940315897775052,0.6962006037802927,0.6963002918274483,0.690857436820664,0.6639919759277834,0.7402206619859579,0.7161484453360081,0.6690070210631895,0.6890672016048145,0.6820461384152458,0.6960882647943831,0.6960882647943831,0.7251755265797393,0.6960882647943831,0.6619859578736209,0.6840521564694082,0.6900702106318957,0.7131394182547643,0.7031093279839519,0.6720160481444333,0.724172517552658,0.7031093279839519,0.6740220661985958,0.6940822467402207,0.6820461384152458,0.649949849548646,0.6960882647943831,0.7211634904714143,0.7101303911735206,0.7271815446339017,0.6569709127382146,0.7311935807422267,0.6940822467402207,0.6639919759277834,0.7161484453360081,0.7321965897693079,0.6780341023069207,0.708124373119358,0.6760280842527583,0.6670010030090271,0.6990972918756269,0.7041123370110332,0.7011033099297894,0.7001003009027081
