name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev,f1 0,f1 1,f1 2,f1 3,f1 4,f1 5,f1 6,f1 7,f1 8,f1 9,f1 10,f1 11,f1 12,f1 13,f1 14,f1 15,f1 16,f1 17,f1 18,f1 19,f1 20,f1 21,f1 22,f1 23,f1 24,f1 25,f1 26,f1 27,f1 28,f1 29,f1 30,f1 31,f1 32,f1 33,f1 34,f1 35,f1 36,f1 37,f1 38,f1 39,acc 0,acc 1,acc 2,acc 3,acc 4,acc 5,acc 6,acc 7,acc 8,acc 9,acc 10,acc 11,acc 12,acc 13,acc 14,acc 15,acc 16,acc 17,acc 18,acc 19,acc 20,acc 21,acc 22,acc 23,acc 24,acc 25,acc 26,acc 27,acc 28,acc 29,acc 30,acc 31,acc 32,acc 33,acc 34,acc 35,acc 36,acc 37,acc 38,acc 39
Concrete Tool Wear,hamming,0.04,0.5,110,40,40,0.7,2756,16,1713059055.1917944,7155,110,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.03162277660168379}",0.6674179455206716,0.006238726285623925,0.6673387901776802,0.006202883409608283,0.6703066796946534,0.672992635811661,0.6599853696699768,0.6687616019078181,0.6619592375609746,0.6653801756009567,0.663063806445874,0.6669579995438703,0.664354957502518,0.6672882419753172,0.6625694096918829,0.6676358155435378,0.6590518390544439,0.6630878530728177,0.658264957166801,0.6730614308105368,0.6709684637640577,0.6735236903966912,0.6768143330014622,0.6660697403204928,0.6731128123294549,0.6641068371521123,0.6544252254101203,0.6609009277383492,0.6626193554012505,0.6705991182393358,0.6593654366097151,0.6669876215845191,0.675048047443276,0.6746489168286517,0.6758232810581523,0.6685314512475209,0.6741902186232269,0.675700696461151,0.6635217488582786,0.6845844739460532,0.663469611120739,0.6699031317954449,0.6665848363601533,0.6604958340830089,0.6701936514274306,0.6723896985426233,0.6594130564983031,0.6687961668995808,0.6616091036134957,0.6652026352565382,0.663405869435017,0.6666001197843882,0.6644040726691954,0.6675983230185666,0.6624076662008385,0.667997604312238,0.6594130564983031,0.6638051507286884,0.6584148532641245,0.6729886204831304,0.670592932721102,0.6731882611299661,0.6759832301856658,0.6656019165502096,0.6731882611299661,0.6642044320223598,0.6540227590337393,0.6610101816729886,0.6628069474945099,0.6703932920742663,0.6592134158514673,0.6671990417248952,0.6759832301856658,0.6749850269514873,0.6749850269514873,0.667997604312238,0.6737871830704731,0.6753843082451587,0.663405869435017,0.6847674186464364,0.6630065881413456,0.6695947294869236,0.6669994010780594,0.6606109003793172
Concrete Tool Wear,hamming,0.04,0.5,110,40,40,0.7,2756,16,1713059055.1917944,7155,110,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.6330900960724773,0.006493025320805974,0.6334797364743462,0.006586598487193568,0.6353282517771143,0.6286483576775147,0.6321219321755378,0.6291599968939251,0.6272380139927657,0.6198608150861414,0.6288143535133567,0.6472899519247156,0.6207238062099922,0.6300230000119043,0.6358830439505553,0.6382866517995759,0.6353453465474889,0.6341928736232453,0.6281022299764581,0.6455152688488557,0.6311665070833373,0.6341506396814656,0.643115382331296,0.6249891117708971,0.6287926089151501,0.628994579040347,0.6320471396554076,0.6223026597085074,0.6313959396434421,0.6309475224001426,0.6245641279772548,0.6359216096281223,0.6428011550017582,0.6364490311463196,0.6309734814166724,0.6300622931351892,0.6302313236004518,0.633387465447507,0.6414326188371277,0.6422082978756131,0.6380602373279719,0.6352387313560809,0.6436116125112479,0.6342258733986367,0.6360551008185267,0.6284687562387702,0.6318626472349771,0.6302655220602915,0.6264723497704132,0.6194849271311639,0.629267318826113,0.6472349770413256,0.6206827710121781,0.6310640846476343,0.6354561788780195,0.6392493511678978,0.6362547414653623,0.6358554601716909,0.6288680375324416,0.6454382112198044,0.63126372529447,0.6346576162906767,0.6428428828109403,0.625274505889399,0.6288680375324416,0.6302655220602915,0.6314633659413057,0.622679177480535,0.6322619285286485,0.6310640846476343,0.6244759433020562,0.6372529446995409,0.643641445398283,0.6376522259932123,0.63126372529447,0.6304651627071272,0.6306648033539629,0.6330604911159912,0.6412457576362547,0.6422439608704332,0.6386504292273907,0.6364543821121981,0.6444400079856258,0.6350568975843481
Concrete Tool Wear,hamming,0.04,0.5,110,40,40,0.7,2756,16,1713059055.1917944,7155,110,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.5858880847062273,0.00752653028519496,0.5927031343581552,0.007039640325155577,0.5847175885387158,0.5945278042778632,0.5752293590146577,0.5927258707302815,0.5943375505150804,0.5933754932290737,0.5883085144754266,0.5893151183330186,0.5681615122541871,0.5823846876571954,0.5782483360986014,0.606538960024626,0.5884278853417257,0.587329846927286,0.588013941192595,0.5866229163353323,0.5785991567704929,0.5928762768381765,0.571945865678771,0.5793784583087279,0.59062676194468,0.576888630102844,0.5850044610982802,0.5809689515658943,0.5935420378477727,0.5799524374575641,0.5822879416881562,0.5961535493830658,0.5873699849634711,0.5832574772056835,0.5819725756606168,0.5905734156613883,0.5779417845820719,0.5941613018234185,0.5863559295664161,0.5790782593956336,0.5888750756151029,0.5949456496677666,0.5866263946022761,0.5778756258751537,0.5909363146336594,0.6013176282691156,0.5837492513475744,0.5985226592134159,0.5993212218007586,0.6003194250349371,0.597125174685566,0.5953284088640447,0.5777600319425035,0.5885406268716311,0.585945298462767,0.6134957077260931,0.5939309243361949,0.5949291275703733,0.5935316430425235,0.5953284088640447,0.5845478139349172,0.5989219405070872,0.579357157117189,0.5863445797564384,0.5973248153324017,0.5849470952285886,0.5903373926931523,0.5875424236374526,0.5979237372729088,0.5873427829906169,0.5915352365741665,0.6015172689159513,0.5957276901577161,0.5901377520463166,0.5885406268716311,0.5967258933918946,0.5847474545817528,0.59972050309443,0.5919345178678379,0.5865442204032741,0.5939309243361949,0.6021161908564584,0.5953284088640447,0.5849470952285886
