name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev,f1 0,f1 1,f1 2,f1 3,f1 4,f1 5,f1 6,f1 7,f1 8,f1 9,f1 10,f1 11,f1 12,f1 13,f1 14,f1 15,f1 16,f1 17,f1 18,f1 19,f1 20,f1 21,f1 22,f1 23,f1 24,f1 25,f1 26,f1 27,f1 28,f1 29,f1 30,f1 31,f1 32,f1 33,f1 34,f1 35,f1 36,f1 37,f1 38,f1 39,acc 0,acc 1,acc 2,acc 3,acc 4,acc 5,acc 6,acc 7,acc 8,acc 9,acc 10,acc 11,acc 12,acc 13,acc 14,acc 15,acc 16,acc 17,acc 18,acc 19,acc 20,acc 21,acc 22,acc 23,acc 24,acc 25,acc 26,acc 27,acc 28,acc 29,acc 30,acc 31,acc 32,acc 33,acc 34,acc 35,acc 36,acc 37,acc 38,acc 39
Concrete Tool Wear,hamming,0.2,0.5,551,40,40,0.7,2756,16,1713059961.6911025,1422,551,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.0031622776601683794}",0.8250699954154876,0.010124358595643087,0.8243724899598392,0.010545484991864994,0.8158439689593022,0.8280744336597313,0.8406609524689378,0.8345640809456111,0.8238332809052281,0.8105402806701899,0.8258726099501521,0.8263467086996498,0.8147484766293834,0.838711438875976,0.803323612313818,0.8287807116794125,0.8238401812024487,0.8456386030278287,0.8152412217731739,0.8249980509964162,0.8394334591345061,0.8343732632208969,0.8296109479465397,0.8204322145785561,0.8072548034164062,0.8254444454703607,0.8093975896748545,0.8152117453755233,0.8115364745689289,0.8154272484627231,0.8178489951614615,0.8211527815952623,0.8189934178833225,0.8400569250256492,0.8247609503343448,0.8294577295595182,0.82595648398929,0.8415628527326566,0.8269483426473752,0.8243993660908774,0.8379791473574157,0.8216058196409021,0.8311385869166417,0.8317976130782335,0.8132530120481928,0.8283132530120482,0.8403614457831325,0.8333333333333334,0.822289156626506,0.8102409638554217,0.8253012048192772,0.8263052208835341,0.8142570281124498,0.8383534136546185,0.8012048192771084,0.8283132530120482,0.822289156626506,0.8463855421686747,0.8132530120481928,0.8242971887550201,0.8393574297188755,0.8353413654618473,0.8283132530120482,0.8182730923694779,0.8062248995983936,0.8232931726907631,0.8102409638554217,0.8152610441767069,0.8102409638554217,0.8152610441767069,0.8172690763052208,0.820281124497992,0.8182730923694779,0.8393574297188755,0.8242971887550201,0.8283132530120482,0.8253012048192772,0.8433734939759037,0.8253012048192772,0.822289156626506,0.8373493975903614,0.820281124497992,0.8313253012048193,0.8323293172690763
Concrete Tool Wear,hamming,0.2,0.5,551,40,40,0.7,2756,16,1713059961.6911025,1422,551,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.8268779524254949,0.011022460469104822,0.8271335341365461,0.011309980264269616,0.826147706921843,0.8506555901513885,0.8347917517406458,0.8162202995918593,0.8290980866328869,0.8245690662651612,0.8345118162689332,0.813982485294776,0.8163589098446434,0.841671529181502,0.8201161676253624,0.8461168957961701,0.8124777505171501,0.8471459211743797,0.8389590741051715,0.8213995744179955,0.8213770223871193,0.8250908998087635,0.8228814131333647,0.839343119776426,0.8168010009160057,0.8285148676079347,0.8348431254133956,0.8312224151119039,0.8290238095473264,0.8302476960540809,0.8000248680570902,0.8064559888940566,0.8089377446504202,0.8360424774241793,0.8353043037537362,0.8285739010038075,0.8257241724582046,0.833413798555194,0.8219198835749476,0.8152832427064568,0.83311491909339,0.8193306062322003,0.8312141305649373,0.8262100647649834,0.8253012048192772,0.8534136546184738,0.8353413654618473,0.8162650602409639,0.8293172690763052,0.8253012048192772,0.8343373493975904,0.8142570281124498,0.8172690763052208,0.8423694779116466,0.8182730923694779,0.8463855421686747,0.8122489959839357,0.8483935742971888,0.8393574297188755,0.821285140562249,0.822289156626506,0.8253012048192772,0.822289156626506,0.8373493975903614,0.8172690763052208,0.8273092369477911,0.8363453815261044,0.8323293172690763,0.8293172690763052,0.8303212851405622,0.7991967871485943,0.8082329317269076,0.8092369477911646,0.8353413654618473,0.8363453815261044,0.8283132530120482,0.8263052208835341,0.8343373493975904,0.821285140562249,0.8152610441767069,0.8343373493975904,0.8182730923694779,0.8323293172690763,0.8273092369477911
Concrete Tool Wear,hamming,0.2,0.5,551,40,40,0.7,2756,16,1713059961.6911025,1422,551,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.6956340766681282,0.019580211393173657,0.6999246987951807,0.01833833005164536,0.665863965809804,0.6851783868129057,0.6980339907454526,0.6958960963720346,0.6983145687990334,0.6840092851382197,0.6893165609943316,0.6511964084062608,0.6976642902421132,0.7149828204346412,0.6644863174416192,0.6933368974076607,0.6964786318170645,0.7296560740323367,0.7035876955960063,0.7089666748134683,0.7395416554608018,0.6886994735800326,0.7015330362396223,0.7051073971721427,0.6813196191818497,0.6831650120638191,0.668186557147678,0.7028117339483839,0.6853222520835766,0.6915134706125509,0.6939977158133009,0.6743652959988603,0.7031190505638358,0.7183069625696344,0.7189392198213139,0.6922372680838739,0.7216965438257645,0.7425193253293155,0.6852946154772684,0.6686442234505984,0.6741075393865429,0.7085870447230476,0.6934416060345234,0.7059377832938364,0.6696787148594378,0.6887550200803213,0.7028112449799196,0.6987951807228916,0.6997991967871486,0.6887550200803213,0.6927710843373494,0.6596385542168675,0.7038152610441767,0.7168674698795181,0.6736947791164659,0.6987951807228916,0.7008032128514057,0.7319277108433735,0.7068273092369478,0.7128514056224899,0.7419678714859438,0.6937751004016064,0.7048192771084337,0.7048192771084337,0.6827309236947792,0.6887550200803213,0.6757028112449799,0.7058232931726908,0.6877510040160643,0.6967871485943775,0.6977911646586346,0.6867469879518072,0.7088353413654619,0.7228915662650602,0.7198795180722891,0.6947791164658634,0.7259036144578314,0.7449799196787149,0.6957831325301205,0.6736947791164659,0.677710843373494,0.7118473895582329,0.6987951807228916,0.7078313253012049
