name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev,f1 0,f1 1,f1 2,f1 3,f1 4,f1 5,f1 6,f1 7,f1 8,f1 9,f1 10,f1 11,f1 12,f1 13,f1 14,f1 15,f1 16,f1 17,f1 18,f1 19,f1 20,f1 21,f1 22,f1 23,f1 24,f1 25,f1 26,f1 27,f1 28,f1 29,f1 30,f1 31,f1 32,f1 33,f1 34,f1 35,f1 36,f1 37,f1 38,f1 39,acc 0,acc 1,acc 2,acc 3,acc 4,acc 5,acc 6,acc 7,acc 8,acc 9,acc 10,acc 11,acc 12,acc 13,acc 14,acc 15,acc 16,acc 17,acc 18,acc 19,acc 20,acc 21,acc 22,acc 23,acc 24,acc 25,acc 26,acc 27,acc 28,acc 29,acc 30,acc 31,acc 32,acc 33,acc 34,acc 35,acc 36,acc 37,acc 38,acc 39
Concrete Tool Wear,hamming,0.2,0.5,1102,40,40,0.7,5512,8,1713055791.8446095,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 10.0, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.00031622776601683794}",0.877604096882002,0.009532014404551793,0.8779426559356136,0.009634832278596815,0.859534499972712,0.8792571565327701,0.8553840539013139,0.8786516984607836,0.8834746850083822,0.8698075880274346,0.8719468481470373,0.8829631487937667,0.8810945519099183,0.8849228099839469,0.8653051378592383,0.8845609764058086,0.874962611386529,0.888292369294625,0.8692570589494012,0.868341160022771,0.8985764439811655,0.8905381364738219,0.8793377007878518,0.8757878126985007,0.9013998458780802,0.8786593707250342,0.8778265224947394,0.8790336147142573,0.8736818698652602,0.8857976968090632,0.8718122163570704,0.8799933046961418,0.8764771145565714,0.8809201169246205,0.8613953056671012,0.8650144972223277,0.8805900733977307,0.8804893513492241,0.8714740200971263,0.8682916268613995,0.8728731410836673,0.8883470159011955,0.8864717569833794,0.8816189650983143,0.8591549295774648,0.8812877263581489,0.8561368209255533,0.8782696177062375,0.8832997987927566,0.8702213279678068,0.8722334004024145,0.8832997987927566,0.8812877263581489,0.8853118712273642,0.8651911468812877,0.8853118712273642,0.8742454728370221,0.8893360160965795,0.869215291750503,0.8682092555331992,0.8993963782696177,0.8903420523138833,0.8792756539235412,0.8762575452716298,0.9014084507042254,0.8782696177062375,0.8782696177062375,0.8792756539235412,0.8742454728370221,0.8873239436619719,0.8722334004024145,0.8802816901408451,0.8762575452716298,0.8812877263581489,0.8621730382293763,0.8651911468812877,0.8812877263581489,0.8812877263581489,0.8712273641851107,0.8682092555331992,0.8742454728370221,0.8883299798792756,0.8873239436619719,0.8822937625754527
Concrete Tool Wear,hamming,0.2,0.5,1102,40,40,0.7,5512,8,1713055791.8446095,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.881172568303968,0.01062354678922098,0.8812374245472837,0.010802482237874078,0.864579205730433,0.8875373182197794,0.8670893000360954,0.8792987265182957,0.887976011461979,0.8714933499701405,0.872502665368748,0.8724951194136281,0.8824656356684392,0.8811035830272078,0.8710429383535517,0.8754531509305515,0.8900682889936725,0.8747288501163109,0.8719416021879765,0.8603053472996236,0.8909408812769625,0.8912206413674902,0.8702527606637197,0.8718255722741733,0.9005912910538955,0.8903644120519192,0.8623596826926266,0.8901194993605136,0.8811832311311659,0.8845756725895862,0.8716191346512998,0.8882428833427914,0.883810199567154,0.89721593731347,0.8819009592768022,0.885825631491446,0.8803898888953947,0.8948161198326975,0.8711103449920318,0.8819546419385279,0.8928921870613399,0.8932947819911082,0.905251648498604,0.8750636355475643,0.864185110663984,0.8903420523138833,0.8672032193158954,0.8792756539235412,0.8873239436619719,0.8712273641851107,0.8722334004024145,0.8722334004024145,0.8822937625754527,0.8812877263581489,0.8702213279678068,0.8752515090543259,0.8903420523138833,0.8752515090543259,0.8722334004024145,0.8591549295774648,0.8913480885311871,0.8913480885311871,0.869215291750503,0.8722334004024145,0.9004024144869215,0.8893360160965795,0.8631790744466801,0.8903420523138833,0.8812877263581489,0.8853118712273642,0.8712273641851107,0.8883299798792756,0.8832997987927566,0.89738430583501,0.8822937625754527,0.8853118712273642,0.8812877263581489,0.8953722334004024,0.8702213279678068,0.8822937625754527,0.8933601609657947,0.8933601609657947,0.9054325955734407,0.8762575452716298
Concrete Tool Wear,hamming,0.2,0.5,1102,40,40,0.7,5512,8,1713055791.8446095,1419,1102,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.7249217136346673,0.019479590039334763,0.7293008048289739,0.018050414262060645,0.6718048639989412,0.7453673776721566,0.7155907334380154,0.7170658599230028,0.7262839762839762,0.7422131707845994,0.723041924785933,0.7117152291562711,0.7408092550550117,0.7305697549008391,0.7068674813845878,0.7275819648045966,0.7339074830378168,0.7508277673313398,0.7280073414209661,0.6883947560179694,0.7486980344844921,0.7254986953803447,0.7202503870436975,0.7353760083874503,0.7637081633047326,0.7335426221486268,0.7389891385242632,0.709653167092048,0.7498967559810573,0.713894671200691,0.7201902009922273,0.7289143819083664,0.7362922162270183,0.710304819209559,0.7188364272569311,0.7014327924377793,0.70015254185541,0.7107907455735584,0.7139453503868168,0.7120628535817103,0.7522243851690257,0.7460182560544246,0.6924141243751429,0.7537328668152918,0.682092555331992,0.7474849094567404,0.721327967806841,0.7203219315895373,0.7303822937625755,0.7464788732394366,0.7283702213279678,0.7193158953722334,0.744466800804829,0.7354124748490946,0.710261569416499,0.7313883299798792,0.7374245472837022,0.7525150905432596,0.7303822937625755,0.693158953722334,0.7515090543259557,0.7303822937625755,0.7223340040241448,0.7374245472837022,0.7645875251509054,0.7374245472837022,0.7404426559356136,0.7142857142857143,0.7545271629778671,0.7183098591549296,0.7233400402414487,0.7354124748490946,0.7404426559356136,0.716297786720322,0.7233400402414487,0.7092555331991952,0.7072434607645876,0.716297786720322,0.7203219315895373,0.7142857142857143,0.7545271629778671,0.7484909456740443,0.7022132796780685,0.7585513078470825
