name,window_shape,window_duration,window_overlap,window_len,number_parallel_jobs,number_cross_validations,my_test_size,audio_fs,downsample_factor,load_date_time,num_samples,sample_lens,freq1,freq2,stand2,classifier,params,mean_score,std_dev,acc,acc_dev,f1 0,f1 1,f1 2,f1 3,f1 4,f1 5,f1 6,f1 7,f1 8,f1 9,f1 10,f1 11,f1 12,f1 13,f1 14,f1 15,f1 16,f1 17,f1 18,f1 19,f1 20,f1 21,f1 22,f1 23,f1 24,f1 25,f1 26,f1 27,f1 28,f1 29,f1 30,f1 31,f1 32,f1 33,f1 34,f1 35,f1 36,f1 37,f1 38,f1 39,acc 0,acc 1,acc 2,acc 3,acc 4,acc 5,acc 6,acc 7,acc 8,acc 9,acc 10,acc 11,acc 12,acc 13,acc 14,acc 15,acc 16,acc 17,acc 18,acc 19,acc 20,acc 21,acc 22,acc 23,acc 24,acc 25,acc 26,acc 27,acc 28,acc 29,acc 30,acc 31,acc 32,acc 33,acc 34,acc 35,acc 36,acc 37,acc 38,acc 39
Concrete Tool Wear,hamming,0.1,0.5,275,40,40,0.7,2756,16,1713059788.4960275,2866,275,FFT_Mag,FreqControl2,FeatureScaler2,rbf_svm,"{'rbf_svm__C': 3.1622776601683795, 'rbf_svm__class_weight': 'balanced', 'rbf_svm__gamma': 0.01}",0.7681855638170987,0.0085827127413453,0.7675386148480319,0.00863073205197083,0.7452660477362226,0.769697789080323,0.7764478739516313,0.755213516473053,0.7541171231470293,0.7682765240244963,0.7716671503611012,0.7753376593823073,0.7675881108511522,0.767889231215892,0.7572161674227983,0.7693103405279368,0.7751525972970051,0.78029031127037,0.7641275337664292,0.7715813322592284,0.7804056531375932,0.7752201141275372,0.7691706659727,0.7693998234303594,0.7558310072933798,0.7828981465336691,0.774280770011476,0.7636466680185053,0.7684678256130777,0.7764202106938032,0.7729040000302813,0.7633371340293729,0.7692588625112408,0.7670946476724403,0.7608013715779779,0.7479276913295845,0.7715729872907099,0.7761473010039972,0.7605842323847348,0.7617066208173852,0.7742735775394481,0.7788762990839156,0.7734660023221908,0.7645516314915906,0.7433981066268062,0.7703039362232187,0.776283009466866,0.7543597409068261,0.7538614848031888,0.7673143996013951,0.7703039362232187,0.7742899850523169,0.7673143996013951,0.7668161434977578,0.7588440458395616,0.7688091679123069,0.7742899850523169,0.7787742899850523,0.7638266068759342,0.7717987045341306,0.7797708021923269,0.7747882411559541,0.7693074240159442,0.7683109118086696,0.7543597409068261,0.7822620827105132,0.7732934728450424,0.7628300946686597,0.7678126557050324,0.7752864972595914,0.7722969606377678,0.7623318385650224,0.7688091679123069,0.7668161434977578,0.7603388141504733,0.7463876432486298,0.7703039362232187,0.7757847533632287,0.7608370702541106,0.7603388141504733,0.7737917289486796,0.7777777777777778,0.772795216741405,0.7643248629795715
Concrete Tool Wear,hamming,0.1,0.5,275,40,40,0.7,2756,16,1713059788.4960275,2866,275,FFT_Mag,FreqControl2,FeatureScaler2,MLPClass1,None,0.7443871429511649,0.009709948335023916,0.7448679621325361,0.0097038174436276,0.7264315039811035,0.7487077332168273,0.7531226915277877,0.7280022136152687,0.7416389656602073,0.7286943318416389,0.7425590159130229,0.7467275330311979,0.7410940963066109,0.7420790975570165,0.7464642331260934,0.7378603158607566,0.7376687627406232,0.7585691606938108,0.7464344087831036,0.7487491095998666,0.7510130515209131,0.7359654941339233,0.7496364066401261,0.7456969311926755,0.7461137077259684,0.7425349914975121,0.7547366435487777,0.7376023699118558,0.7318766765473429,0.7464334292758013,0.7325488834360486,0.7704015960299441,0.7372822248977832,0.7507715374217555,0.7404272694703358,0.7292100548378149,0.7457351942507876,0.7484047046381264,0.7406281284303877,0.735275395599052,0.7556266602515297,0.7618323737609073,0.7618114283894988,0.7491173911827923,0.726457399103139,0.7478824115595416,0.7538614848031888,0.7299451918285998,0.7419033383158944,0.7284504235176881,0.7419033383158944,0.7473841554559043,0.7419033383158944,0.7419033383158944,0.7488789237668162,0.737419033383159,0.7379172894867962,0.757847533632287,0.7483806676631789,0.750373692077728,0.7508719481813653,0.7369207772795217,0.7518684603886397,0.7458893871449925,0.7458893871449925,0.7433981066268062,0.7548579970104634,0.737419033383159,0.731938216243149,0.7463876432486298,0.7329347284504235,0.770802192326856,0.7369207772795217,0.7513702042850025,0.7414050822122571,0.7299451918285998,0.7463876432486298,0.7488789237668162,0.7424015944195317,0.7354260089686099,0.7563527653213752,0.7613353263577479,0.7618335824613851,0.7508719481813653
Concrete Tool Wear,hamming,0.1,0.5,275,40,40,0.7,2756,16,1713059788.4960275,2866,275,FFT_Mag,FreqControl2,FeatureScaler2,K5N,None,0.6594104407235376,0.011311408862121081,0.6647359242650722,0.010532070704823052,0.6607796557868691,0.658314277309272,0.6542432866706412,0.6590381820320159,0.6598338565722605,0.6743984166251266,0.6593637841928771,0.6706519338464291,0.6570923270822556,0.6559387148909165,0.666686484229076,0.6855240072871632,0.6604646700433708,0.6667710730871965,0.6659546877768207,0.6654695522301998,0.692876865619673,0.6507955253960501,0.6512389704539063,0.6535101658512662,0.6610772302575048,0.6845803893710207,0.6505072901619191,0.6627849655451103,0.6651518782027175,0.65625191802527,0.6625096304255159,0.6539529769491188,0.6546630271768366,0.6507310769096307,0.6346497189340073,0.6528178893415807,0.6578368693089737,0.6577684443539616,0.6519682654313845,0.6372452889450461,0.6427215083622552,0.6490769031923267,0.6555753544310382,0.6656005666328952,0.6641753861484804,0.6636771300448431,0.6606875934230194,0.6646736422521176,0.6621823617339312,0.6791230692575984,0.6631788739412058,0.6751370204285002,0.661684105630294,0.6631788739412058,0.6711509715994021,0.6890881913303438,0.6661684105630294,0.6721474838066767,0.6716492277030394,0.6701544593921276,0.6960637767812655,0.6576980568011959,0.658196312904833,0.6591928251121076,0.6661684105630294,0.6890881913303438,0.6552067762830095,0.6671649227703039,0.6706527154957648,0.6596910812157449,0.6661684105630294,0.6586945690084703,0.6636771300448431,0.6532137518684604,0.643248629795715,0.6596910812157449,0.6631788739412058,0.6666666666666666,0.6567015445939213,0.645241654210264,0.6502242152466368,0.6547085201793722,0.6611858495266567,0.6696562032884903
